String Length;adler32 (hex);adler32 (raw);crc32 (hex);crc32 (raw);crc32b (hex);crc32b (raw);crc32c (hex);crc32c (raw);fnv132 (hex);fnv132 (raw);fnv164 (hex);fnv164 (raw);fnv1a32 (hex);fnv1a32 (raw);fnv1a64 (hex);fnv1a64 (raw);gost (hex);gost (raw);gost-crypto (hex);gost-crypto (raw);haval128,3 (hex);haval128,3 (raw);haval128,4 (hex);haval128,4 (raw);haval128,5 (hex);haval128,5 (raw);haval160,3 (hex);haval160,3 (raw);haval160,4 (hex);haval160,4 (raw);haval160,5 (hex);haval160,5 (raw);haval192,3 (hex);haval192,3 (raw);haval192,4 (hex);haval192,4 (raw);haval192,5 (hex);haval192,5 (raw);haval224,3 (hex);haval224,3 (raw);haval224,4 (hex);haval224,4 (raw);haval224,5 (hex);haval224,5 (raw);haval256,3 (hex);haval256,3 (raw);haval256,4 (hex);haval256,4 (raw);haval256,5 (hex);haval256,5 (raw);joaat (hex);joaat (raw);md2 (hex);md2 (raw);md4 (hex);md4 (raw);md5 (hex);md5 (raw);ripemd128 (hex);ripemd128 (raw);ripemd160 (hex);ripemd160 (raw);ripemd256 (hex);ripemd256 (raw);ripemd320 (hex);ripemd320 (raw);sha1 (hex);sha1 (raw);sha224 (hex);sha224 (raw);sha256 (hex);sha256 (raw);sha3-224 (hex);sha3-224 (raw);sha3-256 (hex);sha3-256 (raw);sha3-384 (hex);sha3-384 (raw);sha3-512 (hex);sha3-512 (raw);sha384 (hex);sha384 (raw);sha512 (hex);sha512 (raw);sha512/224 (hex);sha512/224 (raw);sha512/256 (hex);sha512/256 (raw);snefru (hex);snefru (raw);snefru256 (hex);snefru256 (raw);tiger128,3 (hex);tiger128,3 (raw);tiger128,4 (hex);tiger128,4 (raw);tiger160,3 (hex);tiger160,3 (raw);tiger160,4 (hex);tiger160,4 (raw);tiger192,3 (hex);tiger192,3 (raw);tiger192,4 (hex);tiger192,4 (raw);whirlpool (hex);whirlpool (raw);Minimum;Minimum algorithm;Maximum;Maximum algorithm
512;0.1528263092041;0.00095367431640625;0.0030994415283203;0.00095367431640625;0.00095367431640625;0.0021457672119141;0.0019073486328125;0.0021457672119141;0.00095367431640625;0.00095367431640625;0.00095367431640625;0.00095367431640625;0.0011920928955078;0.00095367431640625;0.00095367431640625;0.00095367431640625;0.023126602172852;0.010013580322266;0.0081062316894531;0.0088214874267578;0.0040531158447266;0.0030994415283203;0.0059604644775391;0.0030994415283203;0.0050067901611328;0.003814697265625;0.0030994415283203;0.0028610229492188;0.0040531158447266;0.017166137695312;0.003814697265625;0.0059604644775391;0.0019073486328125;0.0030994415283203;0.0028610229492188;0.0040531158447266;0.0040531158447266;0.0040531158447266;0.0030994415283203;0.0028610229492188;0.0030994415283203;0.0028610229492188;0.10418891906738;0.0081062316894531;0.0050067901611328;0.13399124145508;0.0059604644775391;0.0030994415283203;0.0040531158447266;0.0050067901611328;0.00095367431640625;0.00095367431640625;0.13494491577148;0.051021575927734;0.0021457672119141;0.00095367431640625;0.0019073486328125;0.0021457672119141;0.0019073486328125;0.0021457672119141;0.0019073486328125;0.0030994415283203;0.0019073486328125;0.0021457672119141;0.0019073486328125;0.0021457672119141;0.0028610229492188;0.0011920928955078;0.003814697265625;0.0040531158447266;0.0040531158447266;0.0040531158447266;0.010013580322266;0.0019073486328125;0.00095367431640625;0.00095367431640625;0.00095367431640625;0.0019073486328125;0.0021457672119141;0.0028610229492188;0.0030994415283203;0.0019073486328125;0.0021457672119141;0.0028610229492188;0.0030994415283203;0.046014785766602;0.0030994415283203;0.0028610229492188;0.048160552978516;0.018835067749023;0.019073486328125;0.017881393432617;0.003814697265625;0.0011920928955078;0.0019073486328125;0.00095367431640625;0.0011920928955078;0.00095367431640625;0.00095367431640625;0.00095367431640625;0.0011920928955078;0.00095367431640625;0.00095367431640625;0.00095367431640625;0.0040531158447266;0.0030994415283203;0.00095367431640625;adler32 (raw);0.1528263092041;adler32 (hex)
1024;0.0019073486328125;0.00095367431640625;0.0028610229492188;0.0028610229492188;0.0030994415283203;0.0028610229492188;0.0030994415283203;0.0030994415283203;0.0019073486328125;0.0019073486328125;0.0021457672119141;0.00095367431640625;0.0019073486328125;0.0021457672119141;0.00095367431640625;0.0019073486328125;0.017166137695312;0.015020370483398;0.015020370483398;0.015974044799805;0.016927719116211;0.0050067901611328;0.0059604644775391;0.0071525573730469;0.0069141387939453;0.0071525573730469;0.0050067901611328;0.0050067901611328;0.0059604644775391;0.0069141387939453;0.0069141387939453;0.0069141387939453;0.0050067901611328;0.0050067901611328;0.0059604644775391;0.0069141387939453;0.0071525573730469;0.0069141387939453;0.0050067901611328;0.0050067901611328;0.0059604644775391;0.0071525573730469;0.0069141387939453;0.0081062316894531;0.0050067901611328;0.003814697265625;0.0059604644775391;0.0059604644775391;0.0081062316894531;0.0078678131103516;0.0021457672119141;0.0019073486328125;0.11301040649414;0.35691261291504;0.0028610229492188;0.00095367431640625;0.0019073486328125;0.0021457672119141;0.003814697265625;0.0030994415283203;0.0050067901611328;0.0040531158447266;0.0028610229492188;0.0030994415283203;0.0040531158447266;0.0040531158447266;0.0028610229492188;0.0021457672119141;0.0069141387939453;0.024080276489258;0.0069141387939453;0.0071525573730469;0.0069141387939453;0.0019073486328125;0.0030994415283203;0.0019073486328125;0.0030994415283203;0.0030994415283203;0.003814697265625;0.0040531158447266;0.0050067901611328;0.0040531158447266;0.0050067901611328;0.0040531158447266;0.0050067901611328;0.003814697265625;0.0050067901611328;0.0040531158447266;0.12898445129395;0.053882598876953;0.072002410888672;0.14400482177734;0.0040531158447266;0.0019073486328125;0.0030994415283203;0.0028610229492188;0.0019073486328125;0.0021457672119141;0.0019073486328125;0.0030994415283203;0.0019073486328125;0.0021457672119141;0.0019073486328125;0.0021457672119141;0.0059604644775391;0.0050067901611328;0.00095367431640625;adler32 (raw);0.35691261291504;md2 (raw)
2048;0.00095367431640625;0.0019073486328125;0.0059604644775391;0.0061988830566406;0.0059604644775391;0.0050067901611328;0.0050067901611328;0.0050067901611328;0.0030994415283203;0.0028610229492188;0.0030994415283203;0.0030994415283203;0.0028610229492188;0.0030994415283203;0.0028610229492188;0.0030994415283203;0.032901763916016;0.030040740966797;0.030040740966797;0.030040740966797;0.0090599060058594;0.019073486328125;0.029802322387695;0.024080276489258;0.015020370483398;0.014066696166992;0.0078678131103516;0.0090599060058594;0.010967254638672;0.010967254638672;0.014066696166992;0.014066696166992;0.0078678131103516;0.0081062316894531;0.010967254638672;0.011920928955078;0.013113021850586;0.013113021850586;0.0088214874267578;0.0081062316894531;0.010967254638672;0.010967254638672;0.06103515625;0.055074691772461;0.0090599060058594;0.0078678131103516;0.01215934753418;0.010967254638672;0.014066696166992;0.013828277587891;0.0030994415283203;0.0030994415283203;0.23889541625977;0.18692016601562;0.0030994415283203;0.0019073486328125;0.003814697265625;0.003814697265625;0.0061988830566406;0.0059604644775391;0.0078678131103516;0.0071525573730469;0.0059604644775391;0.0059604644775391;0.0069141387939453;0.0078678131103516;0.0040531158447266;0.0040531158447266;0.012874603271484;0.013113021850586;0.02598762512207;0.011920928955078;0.0090599060058594;0.0030994415283203;0.0040531158447266;0.0028610229492188;0.0050067901611328;0.0050067901611328;0.0069141387939453;0.0069141387939453;0.0081062316894531;0.0078678131103516;0.0081062316894531;0.0069141387939453;0.0071525573730469;0.0069141387939453;0.0081062316894531;0.0078678131103516;0.069141387939453;0.066995620727539;0.067949295043945;0.068187713623047;0.0047683715820312;0.0030994415283203;0.0050067901611328;0.0040531158447266;0.0040531158447266;0.0028610229492188;0.0050067901611328;0.0040531158447266;0.0040531158447266;0.0028610229492188;0.0040531158447266;0.0050067901611328;0.010013580322266;0.010013580322266;0.00095367431640625;adler32 (hex);0.23889541625977;md2 (hex)
4096;0.0021457672119141;0.0019073486328125;0.010967254638672;0.011205673217773;0.010967254638672;0.010013580322266;0.010967254638672;0.010967254638672;0.0050067901611328;0.0050067901611328;0.0061988830566406;0.0059604644775391;0.0050067901611328;0.0050067901611328;0.0059604644775391;0.0050067901611328;0.075101852416992;0.092983245849609;0.056028366088867;0.056028366088867;0.030994415283203;0.015974044799805;0.020980834960938;0.021934509277344;0.02598762512207;0.026941299438477;0.015974044799805;0.015974044799805;0.021934509277344;0.021219253540039;0.026941299438477;0.02598762512207;0.015974044799805;0.015974044799805;0.022172927856445;0.020980834960938;0.02598762512207;0.02598762512207;0.015020370483398;0.015020370483398;0.020980834960938;0.022172927856445;0.02598762512207;0.02598762512207;0.015974044799805;0.015974044799805;0.021934509277344;0.021219253540039;0.02598762512207;0.02598762512207;0.0059604644775391;0.0061988830566406;0.3960132598877;0.36883354187012;0.0050067901611328;0.0050067901611328;0.0090599060058594;0.0090599060058594;0.010967254638672;0.010013580322266;0.014066696166992;0.015020370483398;0.010013580322266;0.010967254638672;0.030994415283203;0.014066696166992;0.010967254638672;0.0078678131103516;0.025033950805664;0.025033950805664;0.025033950805664;0.024080276489258;0.012874603271484;0.0071525573730469;0.0069141387939453;0.0081062316894531;0.0088214874267578;0.010013580322266;0.013113021850586;0.012874603271484;0.015020370483398;0.013828277587891;0.014066696166992;0.014066696166992;0.014066696166992;0.014066696166992;0.015020370483398;0.014066696166992;0.14996528625488;0.13399124145508;0.13494491577148;0.13399124145508;0.0081062316894531;0.0059604644775391;0.0090599060058594;0.0078678131103516;0.0061988830566406;0.0059604644775391;0.0090599060058594;0.0078678131103516;0.0069141387939453;0.0061988830566406;0.0078678131103516;0.0081062316894531;0.019073486328125;0.017881393432617;0.0019073486328125;adler32 (raw);0.3960132598877;md2 (hex)
8192;0.0050067901611328;0.0040531158447266;0.021934509277344;0.020980834960938;0.020980834960938;0.021934509277344;0.021934509277344;0.021934509277344;0.011205673217773;0.010967254638672;0.010967254638672;0.010013580322266;0.023126602172852;0.010967254638672;0.012874603271484;0.066041946411133;0.12803077697754;0.11420249938965;0.11205673217773;0.11086463928223;0.031948089599609;0.030994415283203;0.043153762817383;0.042915344238281;0.052928924560547;0.051975250244141;0.030994415283203;0.030994415283203;0.043153762817383;0.041961669921875;0.051975250244141;0.066041946411133;0.030994415283203;0.030994415283203;0.043153762817383;0.042915344238281;0.052928924560547;0.051975250244141;0.030994415283203;0.030994415283203;0.043153762817383;0.041961669921875;0.051021575927734;0.052928924560547;0.030994415283203;0.030994415283203;0.043153762817383;0.041961669921875;0.051975250244141;0.051975250244141;0.014066696166992;0.013828277587891;0.79107284545898;0.75197219848633;0.010013580322266;0.0090599060058594;0.016927719116211;0.015974044799805;0.020980834960938;0.020027160644531;0.027894973754883;0.027179718017578;0.020980834960938;0.020027160644531;0.026941299438477;0.028133392333984;0.015974044799805;0.015020370483398;0.04887580871582;0.046968460083008;0.048160552978516;0.046968460083008;0.015020370483398;0.012874603271484;0.014066696166992;0.014066696166992;0.017881393432617;0.018119812011719;0.025033950805664;0.024795532226562;0.050067901611328;0.041961669921875;0.030994415283203;0.029087066650391;0.029087066650391;0.030040740966797;0.030040740966797;0.046968460083008;0.4119873046875;0.2589225769043;0.29182434082031;0.2591609954834;0.014781951904297;0.01215934753418;0.015974044799805;0.015974044799805;0.011920928955078;0.01215934753418;0.015974044799805;0.015974044799805;0.011920928955078;0.01215934753418;0.015974044799805;0.015974044799805;0.03504753112793;0.03504753112793;0.0040531158447266;adler32 (raw);0.79107284545898;md2 (hex)
16384;0.010013580322266;0.0081062316894531;0.043869018554688;0.088930130004883;0.044822692871094;0.043153762817383;0.13494491577148;0.044107437133789;0.021934509277344;0.021934509277344;0.020980834960938;0.020980834960938;0.020980834960938;0.020980834960938;0.020980834960938;0.020980834960938;0.25105476379395;0.22315979003906;0.23508071899414;0.22387504577637;0.059127807617188;0.059127807617188;0.08082389831543;0.08082389831543;0.09918212890625;0.10490417480469;0.059127807617188;0.072002410888672;0.081777572631836;0.084161758422852;0.099897384643555;0.10013580322266;0.058889389038086;0.059127807617188;0.082015991210938;0.08082389831543;0.09918212890625;0.098943710327148;0.060081481933594;0.073909759521484;0.084161758422852;0.08392333984375;0.098943710327148;0.10013580322266;0.058889389038086;0.059127807617188;0.082015991210938;0.08082389831543;0.10013580322266;0.098943710327148;0.02598762512207;0.026941299438477;1.4481544494629;1.410961151123;0.018119812011719;0.017881393432617;0.031948089599609;0.030994415283203;0.039100646972656;0.037908554077148;0.068187713623047;0.052928924560547;0.038862228393555;0.03814697265625;0.053882598876953;0.056982040405273;0.028848648071289;0.026941299438477;0.090837478637695;0.091075897216797;0.091075897216797;0.091075897216797;0.026941299438477;0.025033950805664;0.026941299438477;0.026941299438477;0.034093856811523;0.033855438232422;0.049114227294922;0.047922134399414;0.06103515625;0.054121017456055;0.054836273193359;0.055074691772461;0.052928924560547;0.053882598876953;0.054121017456055;0.053882598876953;0.5030632019043;0.50806999206543;0.55193901062012;0.57291984558105;0.050067901611328;0.025033950805664;0.032901763916016;0.032186508178711;0.023841857910156;0.023126602172852;0.030994415283203;0.030994415283203;0.023126602172852;0.023841857910156;0.030994415283203;0.030994415283203;0.090122222900391;0.072002410888672;0.0081062316894531;adler32 (raw);1.4481544494629;md2 (hex)
32768;0.015974044799805;0.015974044799805;0.08702278137207;0.090837478637695;0.08702278137207;0.097990036010742;0.11301040649414;0.085115432739258;0.041961669921875;0.059127807617188;0.042915344238281;0.044107437133789;0.041961669921875;0.041961669921875;0.041961669921875;0.041007995605469;0.44679641723633;0.46014785766602;0.43892860412598;0.4420280456543;0.11897087097168;0.11801719665527;0.15997886657715;0.16212463378906;0.20289421081543;0.21791458129883;0.1220703125;0.12397766113281;0.16903877258301;0.16307830810547;0.1981258392334;0.21982192993164;0.1218318939209;0.14805793762207;0.29611587524414;0.16188621520996;0.23293495178223;0.23603439331055;0.12588500976562;0.1220703125;0.1680850982666;0.16689300537109;0.23603439331055;0.20408630371094;0.1218318939209;0.1220703125;0.1671314239502;0.16689300537109;0.21100044250488;0.1981258392334;0.052928924560547;0.051975250244141;2.9311180114746;2.936840057373;0.037908554077148;0.036001205444336;0.065088272094727;0.062942504882812;0.079154968261719;0.078916549682617;0.10919570922852;0.11181831359863;0.080108642578125;0.087976455688477;0.11205673217773;0.20098686218262;0.087976455688477;0.05793571472168;0.19192695617676;0.18906593322754;0.20599365234375;0.18215179443359;0.058174133300781;0.04887580871582;0.051975250244141;0.051021575927734;0.067949295043945;0.068187713623047;0.10180473327637;0.09608268737793;0.11014938354492;0.11301040649414;0.1068115234375;0.1068115234375;0.1070499420166;0.10800361633301;0.1070499420166;0.1070499420166;1.0149478912354;1.1200904846191;1.0898113250732;1.2929439544678;0.052928924560547;0.049114227294922;0.066041946411133;0.065803527832031;0.049114227294922;0.077009201049805;0.06413459777832;0.063896179199219;0.049114227294922;0.046014785766602;0.061988830566406;0.063180923461914;0.14996528625488;0.13589859008789;0.015974044799805;adler32 (hex);2.936840057373;md2 (raw)
65536;0.030994415283203;0.030994415283203;0.17714500427246;0.17404556274414;0.22482872009277;0.18215179443359;0.16307830810547;0.16283988952637;0.081062316894531;0.097990036010742;0.08082389831543;0.081062316894531;0.097990036010742;0.081062316894531;0.08392333984375;0.13494491577148;0.90813636779785;0.89192390441895;0.88787078857422;0.88286399841309;0.24604797363281;0.23508071899414;0.32401084899902;0.32901763916016;0.3969669342041;0.3960132598877;0.24199485778809;0.23794174194336;0.32305717468262;0.32997131347656;0.38504600524902;0.38504600524902;0.23889541625977;0.22697448730469;0.37980079650879;0.33712387084961;0.40912628173828;0.3969669342041;0.24318695068359;0.2439022064209;0.32806396484375;0.32305717468262;0.40698051452637;0.3960132598877;0.23579597473145;0.25320053100586;0.32401084899902;0.32591819763184;0.4122257232666;0.40292739868164;0.10800361633301;0.10800361633301;5.8670043945312;5.6791305541992;0.072002410888672;0.069856643676758;0.12397766113281;0.12302398681641;0.15902519226074;0.15401840209961;0.21004676818848;0.22292137145996;0.15401840209961;0.15616416931152;0.23484230041504;0.20980834960938;0.12302398681641;0.11801719665527;0.36501884460449;0.3819465637207;0.3969669342041;0.38003921508789;0.10895729064941;0.098228454589844;0.10299682617188;0.10180473327637;0.13494491577148;0.13399124145508;0.20813941955566;0.19598007202148;0.22101402282715;0.21505355834961;0.24700164794922;0.22697448730469;0.21791458129883;0.2129077911377;0.2138614654541;0.21910667419434;2.0449161529541;2.0720958709717;2.0570755004883;2.2029876708984;0.10013580322266;0.092983245849609;0.1680850982666;0.1680850982666;0.14901161193848;0.092983245849609;0.12397766113281;0.12707710266113;0.095844268798828;0.09608268737793;0.12612342834473;0.12397766113281;0.28491020202637;0.27203559875488;0.030994415283203;adler32 (hex);5.8670043945312;md2 (hex)
131072;0.061988830566406;0.065088272094727;0.40197372436523;0.33783912658691;0.35309791564941;0.33903121948242;0.3349781036377;0.34403800964355;0.16903877258301;0.1680850982666;0.1671314239502;0.16689300537109;0.1680850982666;0.17404556274414;0.17189979553223;0.1680850982666;1.8041133880615;1.816987991333;1.8198490142822;1.8680095672607;0.47802925109863;0.47111511230469;0.66494941711426;0.64706802368164;0.80204010009766;0.81205368041992;0.48089027404785;0.46992301940918;0.68402290344238;0.65207481384277;0.94890594482422;0.885009765625;0.46896934509277;0.45490264892578;0.68402290344238;0.62799453735352;0.79584121704102;0.78582763671875;0.46515464782715;0.46682357788086;0.69212913513184;0.64778327941895;0.77509880065918;0.77295303344727;0.51188468933105;0.54693222045898;0.65183639526367;0.63109397888184;0.78606605529785;0.81014633178711;0.20408630371094;0.20408630371094;11.327028274536;11.315107345581;0.15497207641602;0.13995170593262;0.24580955505371;0.25820732116699;0.30803680419922;0.30684471130371;0.42486190795898;0.4279613494873;0.31900405883789;0.3199577331543;0.42009353637695;0.42915344238281;0.21791458129883;0.21600723266602;0.7479190826416;0.73599815368652;0.72884559631348;0.74601173400879;0.20813941955566;0.19598007202148;0.21600723266602;0.2138614654541;0.27012825012207;0.2899169921875;0.40411949157715;0.41508674621582;0.44918060302734;0.42986869812012;0.43916702270508;0.44488906860352;0.4420280456543;0.48303604125977;0.43392181396484;0.45895576477051;4.0578842163086;4.115104675293;4.0709972381592;4.0619373321533;0.18906593322754;0.19192695617676;0.24199485778809;0.24104118347168;0.18191337585449;0.18095970153809;0.24890899658203;0.24199485778809;0.18215179443359;0.18215179443359;0.24580955505371;0.24104118347168;0.55313110351562;0.5497932434082;0.061988830566406;adler32 (hex);11.327028274536;md2 (hex)
262144;0.12898445129395;0.17189979553223;0.74887275695801;0.66900253295898;0.67019462585449;0.65302848815918;0.65708160400391;0.65493583679199;0.32496452331543;0.32496452331543;0.33092498779297;0.32496452331543;0.32496452331543;0.32997131347656;0.32496452331543;0.32496452331543;3.676176071167;3.4859180450439;3.47900390625;3.7181377410889;0.95486640930176;0.92506408691406;1.2600421905518;1.3070106506348;1.6000270843506;1.5301704406738;0.92601776123047;0.92792510986328;1.2640953063965;1.3010501861572;1.594066619873;1.5459060668945;0.91791152954102;0.9148120880127;1.2581348419189;1.3000965118408;1.5859603881836;1.5439987182617;0.92411041259766;0.93388557434082;1.2640953063965;1.2819766998291;1.5449523925781;1.5830993652344;0.9300708770752;0.95915794372559;1.3289451599121;1.2750625610352;1.5609264373779;1.5561580657959;0.4119873046875;0.41699409484863;22.865056991577;22.72891998291;0.28705596923828;0.28014183044434;0.49686431884766;0.49018859863281;0.62894821166992;0.63109397888184;0.84209442138672;0.83684921264648;0.63109397888184;0.62394142150879;0.85091590881348;0.83804130554199;0.44918060302734;0.43296813964844;1.5079975128174;1.492977142334;1.4910697937012;1.4891624450684;0.42295455932617;0.43392181396484;0.42104721069336;0.4119873046875;0.57411193847656;0.54597854614258;0.79107284545898;0.77509880065918;0.87308883666992;0.92482566833496;0.88286399841309;0.88691711425781;0.89311599731445;0.87904930114746;0.87285041809082;0.88381767272949;8.1748962402344;8.3110332489014;8.2328319549561;8.2981586456299;0.37503242492676;0.36311149597168;0.4880428314209;0.48303604125977;0.37002563476562;0.38599967956543;0.49901008605957;0.48303604125977;0.36907196044922;0.38790702819824;0.48208236694336;0.48708915710449;1.1270046234131;1.0690689086914;0.12898445129395;adler32 (hex);22.865056991577;md2 (hex)
